text,Reeshan - eval,Reeshad - actionable,Divyansh - eval,Divyansh - actionable,Kirtan
"Alert, the bike talk in Calgary is heating up: DJ_Holly_D edmontonjournal A bit dramatic there.  We’re not locked in our houses.  We can still go grab essentials, can still go for walks/bike rides/car rides.  We’re just being asked to do a small thing to help our fellow Canadians",T,FA,y,n,T
This seems like a logical next step for @yyctransport in Calgary to take to build on the 5A network principles and 5A network map in the Calgary Transportation Plan.  #yycbike,T,FA,y,y,ta
"@yycbikeguy Yes but not in the early morning. You can’t take your bike on. C-train then, or at your convenience in the early evening. Why is this @cityofcalgary ? Time for change? #yycbike",T,TA,y,n,ta
"Alert, the bike talk in Calgary is heating up: stukehrig bikeedmonton Welcome back to the joyful world of bike rides!Alan (vaccinated) SchtweetziWeb, iBike, iThink. Web/Social Media/Comms/Journalism dude, ex-pro photographer, past prez of Alberta Bicycle Assn. + EBTC, domesticate",T,FA,y,n,T
Here is a video of my family trying to run an errand by bike along Calgary Trail and Gateway Blvd. It's so terrible and feels violent. Why don't more people cycle? #yeg #yegcc @pathsforppl @AmarjeetSohiYEG #yegbike https://t.co/nZBEusBHqA,T,FA,y,n,T
"@BromptoningLove @LanrickBennett @metromorning @BikewaysTO @biketo Salute from Calgary, where well maintained pathways and bikeways keep my family and me rolling through winter for work, errands, and pleasure. https://t.co/W7KMFjNE1s",T,FA,y,n,T
"@JaniceTheriault @InsiderOilers @sjcalgary When I lived in Calgary,  I looked up the cost for those bike lanes. It worked out to $1.27 per $1000 of property taxes paid...and that is not just for bike lanes, but also improvements to pedestrian corridors. We pay more for a ☕ than we do to keep those outside of cars safe.",T,FA,y,y,T
Liked on YouTube: Bike-friendly city showdown compares Amsterdam with Calgary | Collab with @Not Just Bikes https://t.co/40likJTEr5,T,FA,y,n,T
"BIKE RECOVERY: ""The community, Bike Index, and Calgary Police."" @BikeIndexCalg #bikeyyc @salsacycles https://t.co/Tmx0HT2I7n",T,FA,n,-,T
"Oh god. I'm watching a video comparing bike rides in Calgary and Amsterdam, and,,,,,

Damn. Just seeing the comparison between the bike infrastructure/street design/&amp;c. is.

Huh. Wow. that's definitely one thing they *do* do better.",T,FA,n,-,
"@Canadabuster Shutdown and Lockdown the Calgary International Airport.  
Vehicle travel on the Queen E2 will be on alternating days North and South.  
Build Back Better With Bike Lanes !!!",T,TA,n,-,
"Calgary is a great example of a city that has invested significantly in bike infrastructure. AND I DON’T MEAN THE BARE BONES, SUPER-INEXPENSIVE CYCLE TRACKS DOWNTOWN (that I love!). I mean the massive bike path network that connects pretty much the entire city.",T,FA,y,n,T
"@brian_gettler @tpcanoe @ianmilligan1 I expect Victoria and Vancouver are ahead of the curve as well. In Saskatoon we elected ""bike lane"" Charlie and after 1.25 terms we have negative one bike lane downtown. But we're obviously an outlier lagging behind Edmonton and Calgary.",T,FA,y,n,T
,,,,,T
